Title ID	Region	Name	PKG direct link	zRIF	Content ID	Last Modification Date	Original Name	File Size	SHA256	Required FW	App Version
PCSG00448	JP	Marginal #4: Idol of Supernova [ 日文版 ]	MISSING	MISSING	JP0031-PCSG00448_00-IFMARGINALNUMBER			2865955296			
PCSG00449	JP	神和戀心 [ 日文版 ]	MISSING	MISSING	JP0380-PCSG00449_00-KAMIKOI000000000			1612777056			
PCSG00450	JP	地球隊長：心靈迷宮 [ 日文版 ]	MISSING	MISSING	JP0700-PCSG00450_00-CE00000000000001			2822633168			
PCSG00451	JP	花舞少女：夜來舞 Live! [ 日文版 ]	MISSING	MISSING	JP0700-PCSG00451_00-HANAYAMATA000001		ハナヤマタ よさこいLIVE！	1699206064			
PCSG00452	JP	真•三國無雙 7 帝國 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0106/PCSG00452_00/JP0106-PCSG00452_00-SM7EMPGAMEJP0000_bg_1_a2d87311dd21b63c8be7f6d6f2eca9a983689faa.pkg	KO5ifR1dQ+d7BRgYGphBbTExNQLZH+xr7uob4O7o6wqUBZmBB/h+nflQ03+55Ldl/LZb2KZyURZaLBtGUwxtAQDSJxR+	JP0106-PCSG00452_00-SM7EMPGAMEJP0000	2018/4/27 12:47	真・三國無双７ Empires	3445724848	df9b1cb4fd2c2ea1e87ee0c8cd89fb259fdbd08ac903f3722c13ae3875e21be0	3.55	1
PCSG00454	JP	空之波濤：為失落之星獻詩 (綫下版) [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0103/PCSG00454_00/NsJwPapccDveCKhdLZacuysJiyKxHvTNuIiTrMEbvrhAUeiAbxMQEpvrvIHmgcAapHZwuFXicAAayooAdkZLxPFvAVXDYoiicMpRm.pkg	KO5ifR1dQ+d7BRgYGhhDbTExNQHbHxBggAzw+e9u6eYzIU8iLN9c/KExU/uQ3GiMD24AAGmCFNMA	JP0103-PCSG00454_00-APP0000000000000	2017/10/25 18:58	シェルノサージュOFFLINE～失われた星へ捧ぐ詩～	3305990864	fc380af6c71b3fe9faa77608eda6cf381a18663fdf925df19dc41d5808968d09	3.15	1
PCSG00455	JP	靜籟永恆 Plus：獻給誕生之星的祈禱詩 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0103/PCSG00455_00/KMzEVTBzjKoIwKdMYmIIhdsrxgYGXYUbObDzJtemPtxkXzDMyupaorcrYXlvnWXoYCdJklfBQoKnNgZyBvOQjNtlgRzbnzhxVIjWy.pkg	KO5ifR1dQ+d7BRgYGhhDbTExNQXbH+TnHxwa5O5q4OsYHOIahM9/8p6MzTPF118tnj5jZsUWg/ejMT64AQB0NhTA	JP0103-PCSG00455_00-ARNOSURGE0MASTER	2018/1/20 17:50	アルノサージュ PLUS ～生まれいずる星へ祈る詩～	3096861808	e861284097089b4629e7f48cbe69ff4181db3bddde5c137c590e9abbf44e8a70	3.15	1
PCSG00456	JP	魔法高校的劣等生 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0700/PCSG00456_00/YCYNWsCtjCqYlfofQXsLqBmtBvyvyhmMQPPmIYyoytQXxuXkFeMimJOBBUgUKmncKphbWpzbbQJSVMZkNUvABzQVFKUiTWniDKdjs.pkg	KO5ifR1dQ+d7BYBcArXFxNQMZL9nUJCre6iPY5C/vz/IUnz+y5xUyn1m+ofSLQ6ODey3S5ePxvjgBgBrjxS8	JP0700-PCSG00456_00-IRREGULAROOO0000	2018/4/20 18:05	魔法科高校の劣等生 Out of Order	1299150032	2d0592ac3d345675901b50c7b49ca6b2f9621839e9c1591c1123534bf80b490a	3.3	1
PCSG00457	JP	混沌之戒 3 前篇三部曲 [ 日英韓文版 ]	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00457_00/WrSzQNDydRkpLfKrHILcIflYZNIhfqUHgdlmHUAbbbkOtUqxZELMuawbIZeXcCwFtUsTuEbgqnXfKqiYfTUVRBwZGMvwaaWsEwJzI.pkg	KO5ifR1dQ+d7BQBdAbPFxNQcZL+Lp2uwq08A0AGGhkZGxsb4/Le25q1IuvOd3SHbQ1yLfv22Ho3xwQ0A1IYVBwAA	JP0082-PCSG00457_00-DIESELPT00112233	2018/6/22 18:32		2627284336	5cd35facd76a3a3b38f674424d4c0f43a82a0f374bd926cc37a156ce2710012d	3.15	1
PCSG00458	JP	ROOT∞REXX [ 日文版 ]	MISSING	MISSING	JP0031-PCSG00458_00-ROOTREXX00000001			2603185424			
PCSG00459	JP	FLOWERS [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0548/PCSG00459_00/mvTTxCFbPIewmNWgklFyXsklAMbYyJmOzcwEbwksEXRvVOItHHkGMrSHSDxyUypKVfMKLVGQEgFcUDVfoOptaLBhtBKLsHFRxovmy.pkg	KO5ifR1dQ+d7BRiYmlhAbTExtQTZb4AG8PlPu7FCs+jJyS+zKhW2/Cs5+mQ0xgc3AABbbRTb	JP0548-PCSG00459_00-0000000000000000	2018/5/11 16:45		1228736368	fcc33ff46c3850b45da392a4879230709a3c7edf9cf290636ddd92237d31b055	3.15	1
PCSG00460	JP	聖劍傳說瑪娜崛起 [ 日文版 ]	http://zeus.dl.playstation.net/cdn/JP0082/PCSG00460_00/JP0082-PCSG00460_00-RISEOFMANAVITA00_bg_1_fd4f286e20da4a05341ae076695591997e2dc732.pkg	KO5ifR1dg/J5YXyvAKArYLaYmIHtD/IMdvV383X0cwzzDAEahs9/F0RbHk98f1krWtPX229lDMtojA9uAACK1BQq	JP0082-PCSG00460_00-RISEOFMANAVITA00	2018/5/6 20:18	聖剣伝説RISE of MANA	425629392	4b31c5c4a0e76152f96b06bb5dc005c38d5ce95336f6edfb18cea6b900a1e303	3.5	1
PCSG00461	JP	飛艇之空 [ 中日英韓文版 ]	http://zeus.dl.playstation.net/cdn/JP0178/PCSG00461_00/JP0178-PCSG00461_00-1000000000000000_bg_1_f87e885ef5ef9f6f7bd4b8df19b7da41b1a22b2a.pkg	KO5ifR1dQ+d7BRgYmltAbTExMwTZb2iACvD57/DWlpYUTl6XNeLL/c5xbNkzGuODGwAAxzESrgAA	JP0178-PCSG00461_00-1000000000000000	2017/9/26 00:00	エアシップＱ	377046592	d1e599d48fbf9b56ae1e1b8dfdc80cff39f1a776c89c433e1a3aab47abbf18a7	3.52	1
PCSG00462	JP	五彩斑斕的世界：世界的盡頭 重生 [ 日文版 ]	MISSING	MISSING	JP0746-PCSG00462_00-IROTORIDORINOSEK		いろとりどりのセカイ WORLD'S END RE:BIRTH				
PCSG00463	JP	X蒼炎：失去的記憶 [ 日文版 ]	MISSING	MISSING	JP0036-PCSG00463_00-XBLAZE2VITA00000			2476568640			
